いとうせいこう,1961-3-19,
かんべむさし,1948-1-16,
つかこうへい,1948-4-24,
なかにし礼,1938-9-2,
なだいなだ,1929-6-8,
ねじめ正一,--,
ひかわ玲子,1958-5-17,
みうらじゅん,1958-2-1,
よしもとばなな,1964-7-24,
モブ・ノリオ,1970-11-16,
阿刀田高,1935-1-13,
阿部昭,1934-9-22,1989-5-19
阿部牧郎,1933-9-4,
阿部和重,1968-9-23,
愛川晶,1957-5-30,
逢坂剛,1943-11-1,
芦原すなお,1949-9-13,
芦辺拓,1958-5-21,
梓林太郎,1933-1-20,
綾辻行人,1960-12-23,
鮎川哲也,1919-2-14,2002-9-24
安岡章太郎,1920-5-30,
安西篤子,1927-8-11,
安土敏,1937-7-12,
安部公房,1924-3-7,1993-1-22
安部譲二,1937-5-17,
安部龍太郎,1955-6-20,
伊井直行,1953-9-1,
伊集院静,1950-2-9,
伊藤たかみ,1971-4-5,
伊藤桂一,1917-8-23,
伊藤整,1905-1-16,1969-11-15
井出孫六,1931-9-26,
井上光晴,1926-5-15,1992-5-30
井上荒野,1961-2-4,
井上祐美子,1958-11-4,
井沢元彦,1954-2-1,
井伏鱒二,1898-2-15,1993-7-10
稲垣足穂,1900-12-26,1977-10-25
稲見一良,1931-1-1,1994-2-24
稲葉稔,1929-9-14,2006-10-15
宇月原晴明,1963-12-15,
宇江佐真理,1949-10-20,
宇能鴻一郎,1934-4-25,
宇野浩二,1891-7-26,1961-9-21
宇野千代,1897-11-28,1996-6-10
羽山信樹,1944-12-23,1997-6-10
臼井吉見,1905-6-17,1987-7-12
浦賀和宏,1978-12-8,
永井路子,1925-3-31,
永山則夫,1949-6-27,1997-8-1
円地文子,1905-10-2,1986-11-12
遠藤周作,1923-3-27,1996-9-29
塩野七生,1937-7-7,
奥泉光,1956-2-6,
奥田英朗,1959-10-23,
横光利一,1898-3-17,1947-12-30
横溝正史,1902-5-24,1981-12-28
横山秀夫,1957-1-17,
横田順彌,1945-11-11,
岡松和夫,1931-6-23,
岡本かの子,1889-3-1,1939-2-18
岡本好古,1931-11-3,
岡本綺堂,1872-11-15,
荻原浩,1956-6-30,
荻野アンナ,1956-11-7,
乙一,1978-10-21,
乙川優三郎,1953-2-17,
恩田陸,1964-10-25,
下村湖人,1884-10-3,1955-4-20
加賀乙彦,1929-4-22,
加治将一,1948-9-11,
加藤周一,1919-9-19,2008-12-5
加藤武雄,1888-5-3,1956-9-1
加納朋子,1966-10-19,
夏樹静子,1938-12-21,1937-4-26
