連城三紀彦,1948-1-11,
龍胆寺雄,1901-4-27,1992-6-3
隆慶一郎,1923-9-30,1989-11-4
李恢成,1935-2-26,
米原万里,1950-4-29,2006-5-25
吉行淳之介,1924-4-13,1994-7-26
吉行エイスケ,1906-5-10,1940-7-8
吉屋信子,1896-1-12,1973-7-11
よしもとばなな,1964-7-24,
吉村達也,1952-3-21,
吉田満,1923-1-6,1979-9-17
吉永みち子,1950-3-12,
吉田修一,1968-9-14,
吉岡平,1960-7-16,
横山秀夫,1957-1-17,
横光利一,1898-3-17,1947-12-30
横田順彌,1945-11-11,
由良三郎,1921-10-14,2004-4-3
夢野久作,1889-1-4,1936-3-11
結城昌治,1927-2-5,1996-1-24
柳美里,1968-6-22,
唯川恵,1955-2-1,
楊逸,1964-6-18,
梁石日,1936-8-13,
山本幸久,1966-5-31,
山本有三,1887-7-27,1974-1-11
山本昌代,1960-8-18,
山本文緒,1962-11-13,
山本兼一,1956-7-23,
山村美紗,1931-8-25,1996-9-5
山村正夫,1931-3-15,1999-11-19
山手樹一郎,1899-2-11,1978-3-16
山手樹一郎,1978-3-16,
山田悠介,1981-6-8,
山田真美,1960-2-27,
山田美妙,1868-8-25,
山田智彦,1936-3-23,2001-4-17
山田詠美,1959-2-8,
山崎洋子,1947-8-6,
山崎ナオコーラ,1978-9-15,
山口洋子,1937-5-10,
山川方夫,1930-2-25,1965-2-20
山岡荘八,1907-1-11,1978-9-30
山浦弘靖,1938-1-28,
矢作俊彦,1950-7-18,
矢野徹,1923-10-5,2004-10-13
安岡章太郎,1920-5-30,
八切止夫,1914-12-22,1987-4-28
八木啓代,1962-1-13,
諸田玲子,1954-3-7,
森見登美彦,1979-1-6,
盛田隆二,1954-12-23,
森岡浩之,1962-3-2,
森瑤子,1940-11-4,1993-7-6
森茉莉,1903-1-7,1987-6-6
モブ・ノリオ,1970-11-16,
森絵都,1968-4-2,
森詠,1941-12-14,
森敦,1912-1-22,1989-7-29
目取真俊,1960-10-6,
室井佑月,1970-2-27,
群ようこ,1954-12-5,
村山由佳,1964-7-10,
村山由佳,2006-10-21,
村山知義,1901-1-18,1977-3-22
村松友視,1940-4-10,
村上浪六,1865-12-18,
村上元三,1910-3-14,2006-4-3
村上元三,2006-4-3,
武者小路実篤,1885-5-12,1976-4-9
三好徹,1931-1-7,
三好十郎,1902-4-21,1958-12-16
三好京三,1931-3-27,2007-5-11
宮本百合子,1899-2-13,1951-1-21
宮本昌孝,1955-9-11,
宮部みゆき,1960-12-23,
宮崎学,1945-10-25,
宮崎惇,1933-6-15,1981-11-16
宮城谷昌光,1945-2-4,
皆川博子,1929-12-8,
水木楊,1937-10-30,
光瀬龍,1928-3-18,1999-7-7
三田誠広,1948-6-18,
水野良,1963-7-13,
水野仙子,1888-12-3,1919-5-31
三島霜川,1876-7-30,1934-3-7
三木卓,1935-5-13,
三上於菟吉,1891-2-4,1944-2-7
みうらじゅん,1958-2-1,
丸山健二,1943-12-23,
丸谷才一,1925-8-27,
間宮茂輔,1899-2-20,1975-1-12
麻耶雄嵩,1969-5-29,
松本侑子,1963-6-17,
松本泰,1887-2-22,1939-4-19
松本恵子,1891-1-8,1976-11-7
松野大介,1964-2-5,
松岡圭祐,1968-12-3,
松浦理英子,1958-8-7,
松浦寿輝,1954-3-18,
松井計,1958-7-5,
松井雪子,1967-1-5,
松井今朝子,1953-9-28,
町田康,1962-1-15,
又吉栄喜,1947-7-15,
増田みず子,1948-11-13,
増田俊也,1954-12-22,
正本ノン,1953-1-26,
万城目学,1976-2-27,
牧野信一,1896-11-12,1936-3-24
堀江敏幸,1964-1-3,
堀晃,1944-6-21,
堀田善衛,1918-7-7,1998-9-5
堀田あけみ,1964-5-28,
星野智幸,1965-7-13,
保坂和志,1956-10-15,
北条民雄,1914-9-22,1937-12-5
辺見庸,1944-9-27,
古山高麗雄,1920-8-6,2002-3-11
古川日出男,1966-7-11,
古川薫,1925-6-5,
古井由吉,1937-11-19,
船山馨,1914-3-31,1981-8-5
船戸与一,1944-2-8,
二葉亭四迷,--,
藤原伊織,1948-2-17,2007-5-17
藤原伊織,2007-5-17,
藤本ひとみ,1951-11-2,
藤野千夜,1962-2-27,
藤田宜永,1950-4-12,
藤澤清造,1889-10-28,1932-1-29
藤澤清造,1932-1-29,
藤沢周,1959-1-10,
藤川桂介,1934-6-16,
藤枝静男,1907-12-20,1993-4-16
藤水名子,1964-6-29,
富士正晴,1913-10-30,1987-7-15
福本武久,1942-4-21,
福永武彦,1918-3-19,1979-8-13
深見真,1977-8-5,
深田祐介,1931-7-15,
深田久弥,1903-3-11,1971-3-21
深沢七郎,1914-1-29,1987-8-18
広津柳浪,1861-7-15,
広津和郎,1891-12-5,1968-9-21
平谷美樹,1960-1-25,
平林初之輔,1892-11-8,1931-6-15
平林たい子,1905-10-3,1972-2-17
平野啓一郎,1975-6-22,
平岩弓枝,1932-3-15,
檜山良昭,1943-9-5,
姫野カオルコ,1958-8-27,
氷室冴子,1957-1-11,2008-6-6
日野啓三,1929-6-14,2002-10-14
久間十義,1953-11-27,
火坂雅志,1956-5-4,
久生十蘭,1902-4-6,1957-10-6
樋口有介,1950-7-5,
樋口修吉,1938-3-2,2001-10-4
樋口一葉,1872-5-2,
ひかわ玲子,1958-5-17,
干刈あがた,1943-1-25,1992-9-6
日影丈吉,1908-6-12,1991-9-22
半村良,1933-10-27,2002-3-4
坂東眞砂子,1958-3-30,
原田康子,1928-1-12,
原田宗典,1959-3-25,
原りょう,1946-12-18,
原民喜,1905-11-15,1951-3-13
葉山嘉樹,1894-3-12,1945-10-18
葉山嘉樹,1945-10-18,
葉山嘉樹,1977-10-18,
羽山信樹,1944-12-23,1997-6-10
林真理子,1954-4-1,
林芙美子,1903-12-31,1951-6-28
早坂暁,1929-8-11,
帚木蓬生,1947-1-22,
馬場孤蝶,1869-12-10,
埴谷雄高,1909-12-19,1997-2-19
服部真澄,1961-7-31,
畑山博,1935-5-18,2001-9-2
