米澤穂信,1978年,
吉川英治,,
横溝正史,1902-5-24,1981-12-28
森村誠一,1933-1-2,
森博嗣,1957-12-7,
森鴎外,1862-2-17,1922-7-9
村上龍,1952-2-19,
村上春樹,1949-1-12,
三島由紀夫,1925-1-14,1970-11-25
松本清張,1909-12-21,1992-8-4
福井晴敏,1968-11-15,
平井和正,1938-5-13,
東野圭吾,1958-2-4,
夏目漱石,1867-2-9,1916-12-9
筒井康隆,1934-9-24,
太宰治,1909-6-19,1948-6-13
司馬遼太郎,1923-8-7,1996-2-12
栗本薫,1953-2-13,
菊池寛,1888-12-26,1948-3-6
川端康成,1899-6-14,1972-4-16
大江健三郎,1935-1-31,
遠藤周作,1923-3-27,1996-9-29
江戸川乱歩,1894-10-21,1965-7-28
池波正太郎,1923-1-25,1990-5-3
有吉佐和子,1931-1-20,1984-8-30
安部公房,1924-3-7,1993-1-22
浅田次郎,1951-12-13,
芥川龍之介,1892-3-1,1927-7-24
赤川次郎,1948-2-29,
